AIRPORT,MEAN_DEPARTURE_DELAY,ORIGIN_LAT,ORIGIN_LON,MEAN_DESTINATION_DELAY,DESTINATION_LAT,DESTINATION_LON
ABE,0.1,40.65236,-75.4404,0.1,40.65236,-75.4404
ABQ,20.58823529411765,35.04022,-106.60918999999998,12.823529411764707,35.04022,-106.60918999999998
ABR,0.1,45.44906,-98.42183,0.1,45.44906,-98.42183
ABY,0.1,31.53552,-84.19447,0.1,31.53552,-84.19447
ACT,32.0,31.611290000000007,-97.23052,60.666666666666664,31.611290000000007,-97.23052
ACV,8.2,40.97812,-124.10862,13.8,40.97812,-124.10862
ACY,20.545454545454547,39.45758,-74.57717,17.0,39.45758,-74.57717
ADK,8.0,51.87796,-176.64603,0.1,51.87796,-176.64603
AEX,19.4,31.327369999999995,-92.54856,18.5,31.32737,-92.54856
AGS,5.8,33.36996,-81.9645,0.1,33.36996,-81.9645
ALB,0.2,42.74812,-73.80298,1.7333333333333334,42.74812,-73.80298
ALO,28.5,42.55708,-92.40034,32.0,42.55708,-92.40034
AMA,12.5,35.21937,-101.70593,16.0,35.21937,-101.70593
ANC,0.1,61.174319999999994,-149.99618999999998,0.1,61.174319999999994,-149.99618999999998
APN,37.0,45.07807,-83.56029000000001,14.0,45.07807,-83.56029000000001
ASE,32.666666666666664,39.22316,-106.86885,39.0,39.22316,-106.86885000000001
ATL,2.7789904502046383,33.640440000000005,-84.42694,0.1,33.640440000000005,-84.42694
ATW,1.6,44.25741,-88.51948,0.1,44.25741,-88.51948
AUS,11.414893617021276,30.19453,-97.66987,16.927083333333332,30.19453,-97.66987
AVL,3.5,35.43619,-82.54181,1.5,35.43619,-82.54181
AVP,0.1,41.33815,-75.72426999999999,0.1,41.33815,-75.72426999999999
AZO,0.1,42.23488,-85.55206,0.1,42.23488,-85.55206
BDL,3.9,41.938869999999994,-72.68323000000001,0.58,41.938869999999994,-72.68323000000001
BET,0.1,60.77978,-161.838,0.1,60.77978,-161.838
BFL,6.875,35.4336,-119.05677,23.333333333333332,35.4336,-119.05676999999999
BHM,2.88,33.562940000000005,-86.75354999999999,6.428571428571429,33.562940000000005,-86.75355
BIL,5.4,45.80766,-108.54285999999999,7.5,45.80766,-108.54286
BIS,28.285714285714285,46.77411,-100.74672,65.5,46.77411,-100.74672
BJI,0.1,47.50942,-94.93372,0.1,47.50942,-94.93372
BLI,0.1,48.79274999999999,-122.53753,0.1,48.79275,-122.53753
BMI,9.833333333333334,40.477990000000005,-88.91595,18.666666666666668,40.477990000000005,-88.91595
BNA,1.6697247706422018,36.12448,-86.67818,6.756756756756757,36.12448,-86.67817999999998
BOI,13.64516129032258,43.564440000000005,-116.22278,13.8125,43.564440000000005,-116.22278
BOS,9.395744680851063,42.36435,-71.00518000000001,1.251063829787234,42.36435,-71.00518000000001
BPT,18.0,29.95083,-94.02069,25.333333333333332,29.95083,-94.02069
BQK,0.1,31.25903,-81.46631,0.1,31.25903,-81.46631
BQN,0.4,18.49486,-67.12944,0.1,18.49486,-67.12944
BRD,0.1,46.39786,-94.13723,0.1,46.39786,-94.13723
BRO,5.0,25.90683,-97.42586,38.75,25.90683,-97.42586
BRW,0.1,71.28545,-156.766,0.1,71.28545,-156.766
BTM,0.1,45.9548,-112.49746,5.5,45.9548,-112.49746
BTR,6.076923076923077,30.533160000000002,-91.14962999999999,13.23076923076923,30.533160000000002,-91.14962999999999
BTV,0.1,44.473,-73.15031,0.1,44.473,-73.15031
BUF,14.736842105263158,42.94052,-78.73217,0.6666666666666666,42.94052,-78.73217
BUR,4.295454545454546,34.20062,-118.3585,0.8837209302325582,34.20062,-118.3585
