,AIRLINE,ARRIVAL_DELAY
0,AS,-22.0
1,AA,-9.0
2,US,5.0
3,AA,-9.0
4,AS,-21.0
5,DL,8.0
6,NK,-17.0
7,US,-10.0
8,AA,-13.0
9,DL,-15.0
10,DL,-30.0
11,AA,-10.0
12,DL,-4.0
13,DL,-22.0
14,DL,8.0
15,AS,-14.0
16,DL,-24.0
17,UA,-7.0
18,AS,-18.0
19,DL,-12.0
20,NK,6.0
21,AA,1.0
22,NK,-1.0
23,AA,-12.0
24,DL,-23.0
25,UA,-11.0
26,AS,-3.0
27,NK,25.0
28,US,-31.0
29,AA,2.0
30,NK,43.0
31,AA,-16.0
32,DL,10.0
33,NK,-4.0
34,HA,15.0
35,US,-10.0
36,UA,-11.0
37,AS,-35.0
38,B6,11.0
39,NK,-33.0
40,NK,1.0
41,AS,-11.0
42,NK,-11.0
43,B6,4.0
44,US,-36.0
45,AS,-12.0
46,B6,-9.0
47,UA,6.0
48,B6,20.0
49,B6,-16.0
50,B6,85.0
51,B6,-7.0
52,B6,-1.0
53,B6,89.0
54,US,3.0
55,AS,0.0
56,HA,-6.0
57,OO,9.0
58,HA,5.0
59,AS,-14.0
60,HA,-11.0
61,UA,11.0
62,AA,-11.0
63,NK,-10.0
64,OO,0.0
65,OO,-4.0
66,US,-2.0
67,AA,102.0
68,AA,2.0
69,EV,13.0
70,US,60.0
71,AA,54.0
72,DL,-6.0
73,EV,-5.0
74,EV,-15.0
75,OO,3.0
76,OO,9.0
77,HA,-12.0
78,EV,5.0
79,UA,6.0
80,UA,4.0
81,UA,-1.0
82,AA,66.0
83,EV,-14.0
84,F9,-18.0
85,NK,-25.0
86,OO,13.0
87,UA,26.0
88,UA,3.0
89,UA,14.0
90,B6,-15.0
91,B6,-25.0
92,B6,19.0
93,EV,-21.0
94,EV,-18.0
95,EV,-3.0
96,OO,0.0
97,UA,78.0
98,OO,-16.0
99,B6,-21.0
100,B6,-33.0
101,DL,128.0
102,DL,-15.0
103,DL,-21.0
104,EV,14.0
105,EV,-14.0
106,OO,25.0
107,OO,-16.0
108,OO,7.0
109,F9,-11.0
110,OO,-21.0
111,UA,-6.0
112,UA,11.0
113,UA,-7.0
114,AA,-12.0
115,AA,69.0
116,B6,-9.0
117,B6,-13.0
118,B6,-19.0
119,DL,-2.0
120,EV,1.0
121,F9,17.0
122,F9,-8.0
123,OO,56.0
124,OO,10.0
125,HA,-6.0
126,B6,-6.0
127,UA,-35.0
128,US,4.0
129,UA,-9.0
130,UA,43.0
131,UA,-19.0
132,US,-10.0
133,US,-5.0
134,AA,-1.0
135,AA,2.0
136,DL,0.0
137,B6,-7.0
138,EV,1.0
139,EV,-19.0
140,EV,13.0
141,OO,20.0
142,OO,-19.0
143,OO,21.0
144,OO,6.0
145,B6,9.0
146,EV,-17.0
147,WN,-2.0
148,UA,4.0
149,UA,-13.0
150,AA,16.0
151,AA,-10.0
152,B6,-13.0
153,B6,-17.0
154,EV,-9.0
155,EV,-12.0
156,EV,6.0
157,EV,226.0
158,EV,-22.0
159,NK,27.0
160,UA,-16.0
161,AA,-13.0
162,OO,116.0
163,UA,-23.0
164,UA,-3.0
165,UA,123.0
166,UA,-1.0
167,UA,-18.0
168,UA,-6.0
169,US,12.0
170,US,8.0
171,US,-14.0
172,UA,14.0
173,UA,24.0
174,UA,-4.0
175,WN,-26.0
176,WN,-25.0
177,WN,22.0
178,WN,-6.0
179,WN,-26.0
180,WN,-13.0
181,WN,-16.0
182,UA,-4.0
183,UA,-18.0
184,UA,11.0
185,UA,-11.0
186,UA,-11.0
187,UA,-3.0
188,UA,-5.0
189,UA,-14.0
190,UA,-16.0
191,US,-4.0
192,US,10.0
193,US,3.0
194,AA,3.0
195,AA,14.0
196,AA,12.0
197,AA,-1.0
198,AA,31.0
199,AA,-5.0
200,AA,-27.0
201,AA,3.0
202,AA,-11.0
203,AA,50.0
204,AA,-10.0
205,AA,-9.0
206,AA,7.0
207,AA,-3.0
208,AA,-20.0
209,AA,31.0
210,AA,-13.0
211,AA,-26.0
212,AA,5.0
213,AA,30.0
214,AS,-13.0
215,AS,-9.0
216,AS,-9.0
217,AS,-16.0
218,AS,-13.0
219,AS,-9.0
220,AS,-12.0
221,AS,-34.0
222,AS,3.0
223,B6,-2.0
224,B6,9.0
225,B6,-22.0
226,B6,-5.0
227,B6,2.0
228,B6,-10.0
229,B6,-6.0
230,B6,-19.0
231,B6,-21.0
232,B6,-1.0
233,B6,-5.0
234,B6,-18.0
235,B6,-10.0
236,B6,15.0
237,B6,-12.0
238,B6,8.0
239,B6,1.0
240,DL,-19.0
241,DL,-1.0
242,DL,18.0
243,DL,-8.0
244,DL,2.0
245,DL,-32.0
246,DL,-21.0
247,DL,-40.0
248,DL,-32.0
249,DL,107.0
250,DL,-20.0
251,DL,-10.0
252,AA,-1.0
253,DL,-28.0
254,DL,-20.0
255,DL,-22.0
256,DL,-22.0
257,DL,-3.0
258,DL,-7.0
259,DL,-6.0
260,DL,-24.0
261,DL,-19.0
262,B6,-21.0
263,B6,2.0
264,B6,17.0
265,B6,59.0
266,B6,-23.0
267,EV,10.0
268,EV,-4.0
269,EV,85.0
270,EV,-20.0
271,EV,18.0
272,EV,-2.0
273,EV,-10.0
274,EV,-20.0
275,EV,-10.0
276,EV,-3.0
277,EV,0.0
278,EV,-19.0
279,EV,19.0
280,EV,0.0
281,EV,-11.0
282,EV,-3.0
283,F9,-22.0
284,F9,-6.0
285,F9,0.0
286,F9,1.0
287,F9,-11.0
288,F9,24.0
289,HA,-4.0
290,MQ,3.0
291,MQ,-7.0
292,MQ,-12.0
293,MQ,-5.0
294,NK,-8.0
295,NK,-29.0
296,NK,86.0
297,NK,58.0
298,NK,35.0
299,OO,-2.0
300,OO,8.0
301,OO,6.0
302,OO,-29.0
303,OO,-4.0
304,OO,2.0
305,OO,-16.0
306,OO,3.0
307,OO,-19.0
308,OO,-3.0
309,OO,30.0
310,OO,5.0
311,OO,88.0
312,OO,-1.0
313,OO,7.0
314,MQ,-11.0
315,OO,4.0
316,OO,9.0
317,OO,10.0
318,OO,12.0
319,OO,-23.0
