Unnamed: 0,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_AIRPORT_LAT,ORIGIN_AIRPORT_LON,DESTINATION_AIRPORT_LAT,DESTINATION_AIRPORT_LON
0,AS,ANC,SEA,61.17432,-149.99618999999998,47.44898,-122.30931
1,AA,LAX,PBI,33.94254,-118.40807,26.68316,-80.09559
2,US,SFO,CLT,37.619,-122.37484,35.214009999999995,-80.94313000000001
3,AA,LAX,MIA,33.94254,-118.40807,25.79325,-80.29056
4,AS,SEA,ANC,47.44898,-122.30931,61.17432,-149.99618999999998
5,DL,SFO,MSP,37.619,-122.37484,44.88055,-93.21692
6,NK,LAS,MSP,36.08036,-115.15233,44.88055,-93.21692
7,US,LAX,CLT,33.94254,-118.40807,35.214009999999995,-80.94313000000001
8,AA,SFO,DFW,37.619,-122.37484,32.89595,-97.0372
9,DL,LAS,ATL,36.08036,-115.15233,33.640440000000005,-84.42694
10,DL,DEN,ATL,39.85841,-104.667,33.640440000000005,-84.42694
11,AA,LAS,MIA,36.08036,-115.15233,25.79325,-80.29056
12,DL,LAX,MSP,33.94254,-118.40807,44.88055,-93.21692
13,DL,SLC,ATL,40.78839,-111.97777,33.640440000000005,-84.42694
14,DL,SEA,MSP,47.44898,-122.30931,44.88055,-93.21692
17,UA,SFO,IAH,37.619,-122.37484,29.98047,-95.33972
18,AS,ANC,PDX,61.17432,-149.99618999999998,45.58872,-122.5975
19,DL,PDX,MSP,45.58872,-122.5975,44.88055,-93.21692
20,NK,LAS,MCI,36.08036,-115.15233,39.29761,-94.71391
21,AA,SEA,MIA,47.44898,-122.30931,25.79325,-80.29056
22,NK,LAS,DFW,36.08036,-115.15233,32.89595,-97.0372
25,UA,LAX,IAH,33.94254,-118.40807,29.98047,-95.33972
26,AS,FAI,SEA,64.81368,-147.85967,47.44898,-122.30931
27,NK,MSP,FLL,44.88055,-93.21692,26.07258,-80.15275
28,US,LAS,CLT,36.08036,-115.15233,35.214009999999995,-80.94313000000001
29,AA,DEN,MIA,39.85841,-104.667,25.79325,-80.29056
30,NK,PHX,ORD,33.43417,-112.00806,41.9796,-87.90446
