,DESTINATION_AIRPORT,AIRLINE,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
0,ABE,DL,307,3.990228013029316,Airports
1,ABE,EV,1862,6.067669172932331,Airports
2,ABE,OO,51,6.882352941176471,Airports
3,ABI,MQ,2224,4.081384892086331,Airports
4,ABQ,AA,1821,4.414607358594179,Airports
5,ABQ,AS,334,-17.389221556886227,Airports
6,ABQ,B6,271,4.483394833948339,Airports
7,ABQ,DL,1237,-0.7890056588520614,Airports
8,ABQ,EV,405,2.7925925925925927,Airports
9,ABQ,MQ,456,8.06578947368421,Airports
10,ABQ,OO,3258,5.499386126457949,Airports
11,ABQ,UA,342,9.029239766081872,Airports
12,ABQ,US,49,9.428571428571429,Airports
13,ABQ,WN,10780,7.204916512059369,Airports
14,ABR,OO,657,-3.389649923896499,Airports
15,ABY,EV,864,8.681712962962964,Airports
16,ACK,B6,487,4.9137577002053385,Airports
17,ACT,EV,1020,10.279411764705882,Airports
18,ACT,MQ,521,11.337811900191939,Airports
19,ACV,OO,1267,9.675611681136543,Airports
20,ACY,NK,3530,11.825495750708216,Airports
21,ADK,AS,89,-3.191011235955056,Airports
22,ADQ,AS,437,-0.665903890160183,Airports
23,AEX,EV,2262,5.187002652519894,Airports
24,AEX,MQ,793,9.211853720050442,Airports
25,AGS,DL,697,6.001434720229555,Airports
26,AGS,EV,1638,6.589133089133089,Airports
27,AGS,OO,11,-4.454545454545454,Airports
28,AGS,UA,1,19.0,Airports
29,AKN,AS,63,2.380952380952381,Airports
30,ALB,AA,343,3.6588921282798834,Airports
31,ALB,B6,44,7.295454545454546,Airports
32,ALB,DL,1196,1.4055183946488294,Airports
33,ALB,EV,720,3.422222222222222,Airports
34,ALB,OO,88,7.1477272727272725,Airports
35,ALB,UA,636,14.724842767295597,Airports
36,ALB,US,355,5.836619718309859,Airports
37,ALB,WN,3959,7.701439757514524,Airports
38,ALO,MQ,585,5.9452991452991455,Airports
39,AMA,EV,1098,3.5418943533697633,Airports
40,AMA,MQ,1002,9.49001996007984,Airports
41,AMA,OO,451,10.168514412416851,Airports
42,AMA,WN,1520,6.026315789473684,Airports
43,ANC,AA,267,5.831460674157303,Airports
44,ANC,AS,11985,-0.047976637463496036,Airports
45,ANC,B6,386,9.696891191709845,Airports
46,ANC,DL,2014,4.627110228401191,Airports
47,ANC,UA,1002,14.651696606786427,Airports
48,ANC,US,165,-3.878787878787879,Airports
49,APN,OO,549,1.5992714025500911,Airports
50,ASE,MQ,457,20.91247264770241,Airports
51,ASE,OO,2803,15.000713521227256,Airports
52,ATL,AA,7381,5.817639886194282,Airports
53,ATL,AS,429,-1.0093240093240092,Airports
54,ATL,DL,220006,-0.8377498795487396,Airports
55,ATL,EV,56163,9.339191282516959,Airports
56,ATL,F9,4458,16.29452669358457,Airports
57,ATL,MQ,1193,10.618608549874267,Airports
58,ATL,NK,4306,18.07756618671621,Airports
59,ATL,OO,4114,10.07243558580457,Airports
60,ATL,UA,3325,6.88781954887218,Airports
61,ATL,US,2888,6.139889196675901,Airports
62,ATL,WN,38813,3.499858294901193,Airports
63,ATW,DL,446,-1.0829596412556053,Airports
64,ATW,EV,1464,4.081284153005464,Airports
65,ATW,OO,853,5.131301289566236,Airports
66,AUS,AA,7830,6.25823754789272,Airports
67,AUS,AS,400,8.9825,Airports
68,AUS,B6,2182,5.495417048579285,Airports
69,AUS,DL,3433,-1.1028255170404895,Airports
70,AUS,EV,323,4.495356037151703,Airports
71,AUS,F9,1206,13.935323383084578,Airports
72,AUS,OO,2856,11.313725490196079,Airports
73,AUS,UA,4242,10.234794908062234,Airports
74,AUS,US,466,5.78755364806867,Airports
75,AUS,VX,1368,6.519005847953216,Airports
76,AUS,WN,17139,6.536320672151234,Airports
77,AVL,DL,637,5.207221350078493,Airports
78,AVL,EV,1359,4.568064753495217,Airports
79,AVL,OO,695,11.44748201438849,Airports
80,AVP,DL,124,2.717741935483871,Airports
81,AVP,EV,1201,10.52872606161532,Airports
82,AZO,EV,243,-1.4938271604938271,Airports
83,AZO,MQ,1188,1.1582491582491583,Airports
84,AZO,OO,312,3.78525641025641,Airports
85,BDL,AA,1793,5.943112102621305,Airports
86,BDL,B6,3179,12.03900597672224,Airports
87,BDL,DL,4048,-1.615612648221344,Airports
88,BDL,EV,1220,7.5967213114754095,Airports
89,BDL,MQ,387,5.775193798449612,Airports
90,BDL,OO,517,10.541586073500968,Airports
91,BDL,UA,558,15.184587813620071,Airports
92,BDL,US,813,5.075030750307503,Airports
93,BDL,WN,5889,8.407199864153506,Airports
94,BET,AS,879,2.7804323094425483,Airports
95,BFL,OO,2587,5.5017394665635875,Airports
96,BGM,EV,196,2.688775510204082,Airports
97,BGM,OO,62,9.03225806451613,Airports
98,BGR,DL,189,0.798941798941799,Airports
99,BGR,EV,174,3.764367816091954,Airports
100,BHM,AA,221,8.190045248868778,Airports
101,BHM,DL,3040,0.027960526315789474,Airports
102,BHM,EV,3160,7.548101265822785,Airports
103,BHM,MQ,913,7.216867469879518,Airports
104,BHM,OO,883,12.243488108720271,Airports
105,BHM,WN,4090,6.336919315403423,Airports
106,BIL,DL,982,-2.1262729124236253,Airports
107,BIL,EV,80,7.225,Airports
108,BIL,OO,1139,2.071992976294996,Airports
109,BIL,UA,651,6.513056835637481,Airports
110,BIS,DL,277,-4.472924187725631,Airports
111,BIS,EV,137,9.043795620437956,Airports
112,BIS,F9,101,2.386138613861386,Airports
113,BIS,MQ,653,6.2465543644716695,Airports
114,BIS,OO,2235,5.407606263982103,Airports
115,BJI,OO,665,-1.8,Airports
116,BLI,AS,702,-6.803418803418803,Airports
117,BMI,EV,986,12.811359026369168,Airports
118,BMI,F9,36,44.44444444444444,Airports
119,BMI,MQ,1528,2.636780104712042,Airports
120,BMI,OO,81,9.580246913580247,Airports
121,BNA,AA,3922,2.911014788373279,Airports
122,BNA,AS,69,-4.0144927536231885,Airports
123,BNA,DL,4634,1.1704790677600345,Airports
124,BNA,EV,2963,7.674991562605467,Airports
125,BNA,F9,321,4.015576323987539,Airports
126,BNA,MQ,3758,9.423629590207558,Airports
127,BNA,OO,2932,8.439631650750341,Airports
128,BNA,UA,404,7.079207920792079,Airports
129,BNA,US,672,3.8764880952380953,Airports
130,BNA,WN,26800,3.5333955223880595,Airports
131,BOI,AA,359,2.7242339832869082,Airports
132,BOI,DL,1048,-1.0715648854961832,Airports
133,BOI,OO,6236,7.300513149454779,Airports
134,BOI,UA,553,8.417721518987342,Airports
135,BOI,US,394,1.8350253807106598,Airports
136,BOI,WN,2939,6.094930248383804,Airports
137,BOS,AA,17223,3.580328630319921,Airports
138,BOS,AS,1382,-6.524602026049204,Airports
139,BOS,B6,37102,7.105708587138159,Airports
140,BOS,DL,13937,4.566692975532755,Airports
141,BOS,EV,2211,3.674355495251018,Airports
142,BOS,NK,2181,12.074736359468133,Airports
143,BOS,OO,253,7.16205533596838,Airports
144,BOS,UA,11037,7.417142339403823,Airports
145,BOS,US,8436,7.52524893314367,Airports
146,BOS,VX,1566,-1.8729246487867177,Airports
147,BOS,WN,9724,10.080933772110242,Airports
148,BPT,EV,489,14.556237218813905,Airports
149,BPT,MQ,426,14.71830985915493,Airports
150,BQK,EV,868,5.870967741935484,Airports
151,BQN,B6,880,9.059090909090909,Airports
152,BQN,NK,163,16.926380368098158,Airports
153,BQN,UA,285,19.16140350877193,Airports
154,BRD,OO,583,-3.615780445969125,Airports
155,BRO,EV,2119,4.3294006606890045,Airports
156,BRO,MQ,94,10.77659574468085,Airports
157,BRO,OO,53,-1.0377358490566038,Airports
158,BRW,AS,819,4.058608058608058,Airports
159,BTM,OO,640,-3.9625,Airports
160,BTR,DL,315,-9.746031746031745,Airports
161,BTR,EV,6156,10.198343079922028,Airports
162,BTR,MQ,505,6.338613861386139,Airports
163,BTR,OO,15,23.133333333333333,Airports
164,BTR,UA,2,34.0,Airports
165,BTV,B6,1000,7.916,Airports
166,BTV,DL,88,9.897727272727273,Airports
167,BTV,EV,1716,9.51048951048951,Airports
168,BTV,UA,102,8.362745098039216,Airports
169,BUF,AA,537,6.437616387337058,Airports
170,BUF,B6,4017,6.1911874533233755,Airports
171,BUF,DL,2381,0.44393112137757246,Airports
172,BUF,EV,1602,3.7952559300873907,Airports
173,BUF,MQ,945,5.235978835978836,Airports
174,BUF,OO,116,9.474137931034482,Airports
175,BUF,UA,502,12.98804780876494,Airports
176,BUF,US,657,4.65296803652968,Airports
177,BUF,WN,5759,6.599756902239972,Airports
178,BUR,AS,1011,2.6172106824925816,Airports
179,BUR,B6,329,-0.9878419452887538,Airports
180,BUR,OO,3970,3.007052896725441,Airports
181,BUR,WN,13261,5.355930925269588,Airports
182,BWI,AA,4062,6.845888724766125,Airports
183,BWI,AS,414,-10.647342995169081,Airports
184,BWI,B6,1732,3.831408775981524,Airports
185,BWI,DL,6479,-0.22904769254514584,Airports
186,BWI,EV,334,5.907185628742515,Airports
187,BWI,MQ,1061,4.993402450518379,Airports
188,BWI,NK,2765,17.01772151898734,Airports
189,BWI,OO,1,-5.0,Airports
190,BWI,UA,2962,7.907157326130992,Airports
191,BWI,US,1872,5.535790598290598,Airports
192,BWI,WN,62590,2.9870905895510464,Airports
193,BZN,DL,1078,0.08256029684601113,Airports
194,BZN,F9,188,7.324468085106383,Airports
195,BZN,OO,1620,1.502469135802469,Airports
196,BZN,UA,678,8.529498525073747,Airports
197,CAE,DL,1013,1.2507403751233959,Airports
198,CAE,EV,3841,11.201249674563917,Airports
199,CAE,MQ,162,16.580246913580247,Airports
200,CAE,OO,33,24.575757575757574,Airports
201,CAK,DL,1336,-0.38922155688622756,Airports
202,CAK,EV,1486,5.438088829071332,Airports
203,CAK,OO,44,11.181818181818182,Airports
204,CAK,WN,3119,7.196216736133376,Airports
205,CDC,OO,570,7.278947368421052,Airports
206,CDV,AS,654,0.8883792048929664,Airports
207,CEC,OO,175,4.28,Airports
208,CHA,DL,777,2.988416988416988,Airports
209,CHA,EV,2646,7.23469387755102,Airports
210,CHA,MQ,641,5.232449297971919,Airports
211,CHA,OO,71,13.140845070422536,Airports
212,CHO,DL,321,4.221183800623053,Airports
213,CHO,EV,556,11.767985611510792,Airports
214,CHO,MQ,238,5.3277310924369745,Airports
215,CHO,OO,996,13.54417670682731,Airports
216,CHS,AA,141,0.3191489361702128,Airports
217,CHS,AS,26,-18.692307692307693,Airports
218,CHS,B6,1765,5.794900849858357,Airports
219,CHS,DL,3586,-1.2504182933630787,Airports
220,CHS,EV,2603,4.104110641567422,Airports
221,CHS,MQ,486,11.767489711934155,Airports
222,CHS,OO,566,12.650176678445229,Airports
223,CHS,UA,4,-3.75,Airports
224,CHS,US,65,4.953846153846154,Airports
225,CHS,WN,2352,7.497023809523809,Airports
226,CID,EV,1903,5.255911718339464,Airports
227,CID,F9,101,7.584158415841584,Airports
228,CID,MQ,2580,7.717829457364341,Airports
229,CID,OO,2027,9.193389245189936,Airports
230,CIU,OO,596,5.620805369127517,Airports
231,CLD,OO,626,4.394568690095847,Airports
232,CLE,AA,1766,-0.25254813137032844,Airports
233,CLE,B6,629,-8.531001589825118,Airports
234,CLE,DL,2275,-1.934065934065934,Airports
235,CLE,EV,9965,3.038735574510788,Airports
236,CLE,F9,2969,13.268440552374537,Airports
237,CLE,MQ,1891,8.517715494447382,Airports
238,CLE,NK,2123,8.673104097974564,Airports
239,CLE,OO,460,10.980434782608695,Airports
240,CLE,UA,6471,3.7889043424509348,Airports
241,CLE,US,914,2.2242888402625822,Airports
242,CLE,WN,4370,6.6533180778032035,Airports
243,CLL,EV,687,0.5691411935953421,Airports
244,CLL,MQ,1511,2.0774321641297155,Airports
245,CLT,AA,41329,1.0170824360618451,Airports
246,CLT,B6,1239,2.492332526230831,Airports
247,CLT,DL,5974,-0.14295279544693673,Airports
248,CLT,EV,3332,11.664165666266507,Airports
249,CLT,F9,555,7.2468468468468465,Airports
250,CLT,MQ,113,13.0,Airports
251,CLT,OO,705,14.85531914893617,Airports
252,CLT,UA,271,1.811808118081181,Airports
253,CLT,US,43561,2.0185027891921674,Airports
254,CLT,WN,1751,9.729868646487722,Airports
255,CMH,AA,1887,0.2718600953895072,Airports
256,CMH,DL,3024,0.9487433862433863,Airports
257,CMH,EV,2417,4.889532478278858,Airports
258,CMH,MQ,4353,8.55961405926947,Airports
259,CMH,OO,875,10.381714285714287,Airports
260,CMH,UA,692,1.8554913294797688,Airports
261,CMH,US,498,-0.18072289156626506,Airports
262,CMH,WN,9899,6.268410950601071,Airports
263,CMI,MQ,2001,3.663168415792104,Airports
