ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents_origin,parents,TOTAL_FLIGHTS,ids2,DESTINATION_AIRPORT,FLIGHT_COUNT_DESTINATION,AVERAGE_ARRIVAL_DELAY,parents_destination
0,ABE,DL,308,2.9123376623376624,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
7,ABQ,DL,1237,5.309620048504447,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
25,AGS,DL,696,6.175287356321839,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
32,ALB,DL,1194,6.501675041876047,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
46,ANC,DL,2011,6.017404276479364,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,0,ABE,307,3.990228013029316,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,7,ABQ,1237,-0.7890056588520614,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,25,AGS,697,6.001434720229555,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,32,ALB,1196,1.4055183946488294,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,46,ANC,2014,4.627110228401191,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,54,ATL,220006,-0.8377498795487396,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,63,ATW,446,-1.0829596412556053,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,69,AUS,3433,-1.1028255170404897,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,77,AVL,637,5.207221350078493,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,80,AVP,124,2.717741935483871,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,87,BDL,4048,-1.615612648221344,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,98,BGR,189,0.798941798941799,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,101,BHM,3040,0.0279605263157894,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,106,BIL,982,-2.1262729124236253,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,110,BIS,277,-4.472924187725631,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,123,BNA,4634,1.1704790677600343,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,132,BOI,1048,-1.0715648854961832,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,140,BOS,13937,4.566692975532755,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,160,BTR,315,-9.746031746031743,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,166,BTV,88,9.897727272727272,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,171,BUF,2381,0.4439311213775724,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,185,BWI,6479,-0.2290476925451458,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,193,BZN,1078,0.0825602968460111,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,197,CAE,1013,1.250740375123396,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,201,CAK,1336,-0.3892215568862275,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,208,CHA,777,2.988416988416988,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,212,CHO,321,4.221183800623053,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,219,CHS,3586,-1.2504182933630787,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,234,CLE,2275,-1.934065934065934,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,247,CLT,5974,-0.1429527954469367,Airports
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817,256,CMH,3024,0.9487433862433864,Airports
