ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT,AVERAGE_DEPARTURE_DELAY,parents_origin
0,ABE,DL,308,2.9123376623376624,Airports
1,ABE,EV,1869,9.765650080256822,Airports
2,ABE,OO,50,3.94,Airports
3,ABI,MQ,2231,5.747646795159121,Airports
4,ABQ,AA,1820,8.063186813186814,Airports
5,ABQ,AS,332,-6.72289156626506,Airports
6,ABQ,B6,271,15.586715867158672,Airports
7,ABQ,DL,1237,5.3096200485044465,Airports
8,ABQ,EV,405,5.288888888888889,Airports
9,ABQ,MQ,455,13.263736263736265,Airports
10,ABQ,OO,3249,4.8747306863650355,Airports
11,ABQ,UA,339,14.008849557522124,Airports
12,ABQ,US,48,2.1875,Airports
13,ABQ,WN,10762,10.625069689648765,Airports
14,ABR,OO,663,10.10105580693816,Airports
15,ABY,EV,866,8.75635103926097,Airports
16,ACK,B6,485,16.406185567010308,Airports
17,ACT,EV,1019,7.40431795878312,Airports
18,ACT,MQ,519,6.980732177263969,Airports
19,ACV,OO,1268,11.964511041009464,Airports
20,ACY,NK,3527,9.964842642472355,Airports
21,ADK,AS,88,10.409090909090908,Airports
22,ADQ,AS,437,0.40503432494279173,Airports
23,AEX,EV,2259,8.178397521027003,Airports
24,AEX,MQ,795,11.833962264150943,Airports
25,AGS,DL,696,6.175287356321839,Airports
26,AGS,EV,1637,9.540623091020159,Airports
27,AGS,OO,11,-0.8181818181818182,Airports
28,AGS,UA,1,14.0,Airports
29,AKN,AS,63,2.6825396825396823,Airports
30,ALB,AA,342,2.973684210526316,Airports
31,ALB,B6,44,12.522727272727273,Airports
32,ALB,DL,1194,6.501675041876047,Airports
33,ALB,EV,715,6.78041958041958,Airports
34,ALB,OO,86,12.093023255813954,Airports
35,ALB,UA,637,11.133437990580848,Airports
36,ALB,US,355,4.48169014084507,Airports
37,ALB,WN,3949,6.399088376804254,Airports
38,ALO,MQ,581,5.554216867469879,Airports
39,AMA,EV,1106,7.383363471971067,Airports
40,AMA,MQ,996,8.36847389558233,Airports
41,AMA,OO,451,7.445676274944567,Airports
42,AMA,WN,1521,5.9171597633136095,Airports
43,ANC,AA,268,20.992537313432837,Airports
44,ANC,AS,11990,0.34111759799833197,Airports
45,ANC,B6,385,10.768831168831168,Airports
46,ANC,DL,2011,6.017404276479364,Airports
47,ANC,UA,1002,26.303393213572853,Airports
48,ANC,US,162,1.5679012345679013,Airports
49,APN,OO,546,4.983516483516484,Airports
50,ASE,MQ,437,33.94279176201373,Airports
51,ASE,OO,2826,14.83581033262562,Airports
52,ATL,AA,7367,6.420523958191937,Airports
53,ATL,AS,428,5.707943925233645,Airports
54,ATL,DL,220400,7.869319419237749,Airports
55,ATL,EV,56156,10.142602749483581,Airports
56,ATL,F9,4459,21.878223816999327,Airports
57,ATL,MQ,1178,17.00509337860781,Airports
58,ATL,NK,4310,23.44199535962877,Airports
59,ATL,OO,4106,13.471992206527034,Airports
60,ATL,UA,3310,17.17522658610272,Airports
61,ATL,US,2886,4.169438669438669,Airports
62,ATL,WN,38906,12.715725080964376,Airports
63,ATW,DL,443,3.6930022573363432,Airports
64,ATW,EV,1460,6.089041095890411,Airports
65,ATW,OO,856,5.692757009345795,Airports
66,AUS,AA,7823,8.066342835229452,Airports
67,AUS,AS,400,8.24,Airports
68,AUS,B6,2175,10.925057471264369,Airports
69,AUS,DL,3431,8.524336928009326,Airports
70,AUS,EV,323,3.585139318885449,Airports
71,AUS,F9,1205,16.23485477178423,Airports
72,AUS,OO,2854,11.959004905395936,Airports
73,AUS,UA,4227,13.903477643718949,Airports
74,AUS,US,460,11.263043478260869,Airports
75,AUS,VX,1370,5.404379562043796,Airports
76,AUS,WN,17124,10.097173557580005,Airports
77,AVL,DL,637,9.392464678178964,Airports
78,AVL,EV,1347,9.100965107646623,Airports
79,AVL,OO,689,9.133526850507982,Airports
80,AVP,DL,123,8.926829268292684,Airports
81,AVP,EV,1203,8.88778054862843,Airports
82,AZO,EV,242,8.214876033057852,Airports
83,AZO,MQ,1190,2.5025210084033613,Airports
84,AZO,OO,311,3.57556270096463,Airports
85,BDL,AA,1790,4.5374301675977655,Airports
86,BDL,B6,3178,10.071743234738829,Airports
87,BDL,DL,4039,4.192374350086655,Airports
88,BDL,EV,1228,8.863192182410424,Airports
89,BDL,MQ,378,12.912698412698413,Airports
90,BDL,OO,516,14.3468992248062,Airports
91,BDL,UA,554,14.720216606498195,Airports
92,BDL,US,811,2.4821208384710234,Airports
93,BDL,WN,5881,8.299438870940316,Airports
94,BET,AS,880,1.7965909090909091,Airports
95,BFL,OO,2587,5.812137611132586,Airports
96,BGM,EV,197,10.720812182741117,Airports
97,BGM,OO,62,10.258064516129032,Airports
98,BGR,DL,189,3.4603174603174605,Airports
99,BGR,EV,174,8.53448275862069,Airports
100,BHM,AA,221,17.06787330316742,Airports
101,BHM,DL,3033,6.373227827233762,Airports
102,BHM,EV,3158,9.66529449018366,Airports
103,BHM,MQ,902,12.618625277161863,Airports
104,BHM,OO,877,10.663625997719498,Airports
