ids,ORIGIN_AIRPORT,AIRLINE,FLIGHT_COUNT_ORIGIN,AVERAGE_DEPARTURE_DELAY,parents,parents2,TOTAL_FLIGHTS
0,ABE,DL,308,2.9123376623376624,Airports,Airlines,794817
1,ABE,EV,1869,9.765650080256822,Airports,Airlines,509621
2,ABE,OO,50,3.94,Airports,Airlines,530182
3,ABI,MQ,2231,5.747646795159121,Airports,Airlines,257130
4,ABQ,AA,1820,8.063186813186814,Airports,Airlines,636554
5,ABQ,AS,332,-6.72289156626506,Airports,Airlines,157025
6,ABQ,B6,271,15.586715867158672,Airports,Airlines,240304
7,ABQ,DL,1237,5.309620048504447,Airports,Airlines,794817
8,ABQ,EV,405,5.288888888888889,Airports,Airlines,509621
9,ABQ,MQ,455,13.263736263736265,Airports,Airlines,257130
10,ABQ,OO,3249,4.874730686365036,Airports,Airlines,530182
11,ABQ,UA,339,14.008849557522124,Airports,Airlines,462086
12,ABQ,US,48,2.1875,Airports,Airlines,194223
13,ABQ,WN,10762,10.625069689648765,Airports,Airlines,1138350
14,ABR,OO,663,10.10105580693816,Airports,Airlines,530182
15,ABY,EV,866,8.75635103926097,Airports,Airlines,509621
16,ACK,B6,485,16.406185567010308,Airports,Airlines,240304
17,ACT,EV,1019,7.40431795878312,Airports,Airlines,509621
18,ACT,MQ,519,6.980732177263969,Airports,Airlines,257130
19,ACV,OO,1268,11.964511041009464,Airports,Airlines,530182
20,ACY,NK,3527,9.964842642472355,Airports,Airlines,105059
21,ADK,AS,88,10.409090909090908,Airports,Airlines,157025
22,ADQ,AS,437,0.4050343249427917,Airports,Airlines,157025
23,AEX,EV,2259,8.178397521027003,Airports,Airlines,509621
24,AEX,MQ,795,11.833962264150944,Airports,Airlines,257130
25,AGS,DL,696,6.175287356321839,Airports,Airlines,794817
26,AGS,EV,1637,9.54062309102016,Airports,Airlines,509621
27,AGS,OO,11,-0.8181818181818182,Airports,Airlines,530182
28,AGS,UA,1,14.0,Airports,Airlines,462086
29,AKN,AS,63,2.6825396825396823,Airports,Airlines,157025
30,ALB,AA,342,2.973684210526316,Airports,Airlines,636554
31,ALB,B6,44,12.522727272727272,Airports,Airlines,240304
32,ALB,DL,1194,6.501675041876047,Airports,Airlines,794817
33,ALB,EV,715,6.78041958041958,Airports,Airlines,509621
34,ALB,OO,86,12.093023255813954,Airports,Airlines,530182
35,ALB,UA,637,11.133437990580848,Airports,Airlines,462086
36,ALB,US,355,4.48169014084507,Airports,Airlines,194223
37,ALB,WN,3949,6.399088376804254,Airports,Airlines,1138350
38,ALO,MQ,581,5.554216867469879,Airports,Airlines,257130
39,AMA,EV,1106,7.383363471971067,Airports,Airlines,509621
40,AMA,MQ,996,8.36847389558233,Airports,Airlines,257130
41,AMA,OO,451,7.445676274944567,Airports,Airlines,530182
42,AMA,WN,1521,5.9171597633136095,Airports,Airlines,1138350
43,ANC,AA,268,20.99253731343284,Airports,Airlines,636554
44,ANC,AS,11990,0.3411175979983319,Airports,Airlines,157025
45,ANC,B6,385,10.768831168831168,Airports,Airlines,240304
46,ANC,DL,2011,6.017404276479364,Airports,Airlines,794817
47,ANC,UA,1002,26.303393213572853,Airports,Airlines,462086
48,ANC,US,162,1.567901234567901,Airports,Airlines,194223
49,APN,OO,546,4.983516483516484,Airports,Airlines,530182
50,ASE,MQ,437,33.94279176201373,Airports,Airlines,257130
51,ASE,OO,2826,14.83581033262562,Airports,Airlines,530182
52,ATL,AA,7367,6.420523958191937,Airports,Airlines,636554
53,ATL,AS,428,5.707943925233645,Airports,Airlines,157025
54,ATL,DL,220400,7.869319419237749,Airports,Airlines,794817
55,ATL,EV,56156,10.14260274948358,Airports,Airlines,509621
56,ATL,F9,4459,21.878223816999327,Airports,Airlines,82005
57,ATL,MQ,1178,17.00509337860781,Airports,Airlines,257130
58,ATL,NK,4310,23.44199535962877,Airports,Airlines,105059
59,ATL,OO,4106,13.471992206527034,Airports,Airlines,530182
60,ATL,UA,3310,17.17522658610272,Airports,Airlines,462086
61,ATL,US,2886,4.169438669438669,Airports,Airlines,194223
62,ATL,WN,38906,12.715725080964376,Airports,Airlines,1138350
63,ATW,DL,443,3.6930022573363432,Airports,Airlines,794817
64,ATW,EV,1460,6.089041095890411,Airports,Airlines,509621
65,ATW,OO,856,5.692757009345795,Airports,Airlines,530182
66,AUS,AA,7823,8.066342835229452,Airports,Airlines,636554
